,precision,recall,accuracy,sort_type,datestring,noise_level
19,0.9952134165445445,0.9765432938449543,0.9720036188928534,EMUsort,20250429_205402741549,0.2
11,0.993310647402755,0.9777416875822645,0.9713829563884806,EMUsort,20250429_205314634571,0.2
5,0.983070965670535,0.9829483218807702,0.9664283625496115,EMUsort,20250429_205223480526,0.2
17,0.9928206341488265,0.9712157587523477,0.9645422413274923,EMUsort,20250429_205350863357,0.2
8,0.9805510451010919,0.9814043877741796,0.9623681300717815,EMUsort,20250429_205255137255,0.2
14,0.9915036336089054,0.9687809578026986,0.9608386394471463,EMUsort,20250429_205338502132,0.2
18,0.9876250276142228,0.96988742749155,0.9581468169301232,EMUsort,20250429_205402601678,0.2
10,0.9950179072105388,0.9621918955695374,0.9574569403899895,EMUsort,20250429_205313856353,0.2
13,0.9686159492226288,0.9846974011795913,0.9535087763283631,EMUsort,20250429_205327131852,0.2
6,0.9734382730352754,0.9784917025023085,0.9534185339915828,EMUsort,20250429_205242637331,0.2
9,0.9701483606953666,0.981596511292414,0.9524044478216955,EMUsort,20250429_205302883202,0.2
1,0.9835231712031669,0.9643585755828091,0.9502883457797449,EMUsort,20250429_205153217882,0.2
12,0.980501482683289,0.9674204806866475,0.9491821075059054,EMUsort,20250429_205327121098,0.2
15,0.9725437259621529,0.9682685924677953,0.9412976784534497,EMUsort,20250429_205338515247,0.2
7,0.9601628912637462,0.9771688935684967,0.9389248124952992,EMUsort,20250429_205242802076,0.2
21,0.9722564197239842,0.962657771300257,0.938045923480165,EMUsort,20250429_205417581915,0.2
24,0.9804168698322643,0.9458894907047799,0.9290452371851956,EMUsort,20250429_205456488378,0.2
23,0.977216785334158,0.9435279059781199,0.9234379259347507,EMUsort,20250429_205429165201,0.2
38,0.9788945270616634,0.9383916241713134,0.9225509381084306,Kilosort4,20250429_210236031302,0.2
4,0.9852413279284924,0.9247655675219356,0.9170117890112056,EMUsort,20250429_205223235973,0.2
37,0.9715973468243334,0.9312748594225161,0.9091273740532001,Kilosort4,20250429_210234992804,0.2
20,0.9725181179896326,0.9265332485355838,0.9073008630698253,EMUsort,20250429_205414894790,0.2
22,0.9709887398600016,0.9232660924908866,0.8998609789224556,EMUsort,20250429_205428845367,0.2
34,0.9756217366649456,0.905540580039319,0.8909225607101989,Kilosort4,20250429_210157012368,0.2
3,0.9028774058758458,0.9022932415349867,0.8879543797618308,EMUsort,20250429_205208006941,0.2
27,0.9414952536236537,0.913959715746737,0.8812492903659267,Kilosort4,20250429_210038028626,0.2
31,0.9721561124675839,0.8962180674574893,0.8788807540388699,Kilosort4,20250429_210129234955,0.2
26,0.9308068015841016,0.913556037048858,0.8774233973173496,Kilosort4,20250429_210024522665,0.2
39,0.9675528768269033,0.8978167762414146,0.8760591063977715,Kilosort4,20250429_210248105520,0.2
2,0.9016902015254893,0.8931185910943528,0.8747512540914991,EMUsort,20250429_205207884521,0.2
0,0.9061579167422981,0.8819173084010279,0.8700215110833804,EMUsort,20250429_205153078457,0.2
33,0.9745264139817669,0.8797046397086025,0.8662820926277626,Kilosort4,20250429_210148338022,0.2
43,0.9624308018185047,0.8981066878434832,0.86622439149511,Kilosort4,20250429_210312199297,0.2
16,0.8788870298382315,0.888243028469393,0.8524557555762005,EMUsort,20250429_205350813908,0.2
30,0.9361996605226814,0.8874908621016626,0.8458089786077565,Kilosort4,20250429_210118040808,0.2
44,0.9368978602523151,0.892291037715298,0.8388178855117608,Kilosort4,20250429_210312508572,0.2
47,0.8977542691089024,0.8474339173749351,0.8318026728902105,Kilosort4,20250429_210336931971,0.2
28,0.8921251684308193,0.9261266702677371,0.8301161853225896,Kilosort4,20250429_210049542390,0.2
32,0.8545466699328259,0.9099742945784035,0.8178348654858709,Kilosort4,20250429_210137518419,0.2
42,0.983665474127122,0.8284556114245669,0.8172521696421237,Kilosort4,20250429_210301360248,0.2
25,0.8605905417382036,0.8687525730420871,0.8153465354203077,Kilosort4,20250429_210019961044,0.2
36,0.883103294856449,0.8148964569218997,0.7901434021126928,Kilosort4,20250429_210222359161,0.2
46,0.9311095026817631,0.8378802153154814,0.7835299373046223,Kilosort4,20250429_210325882521,0.2
45,0.8896047472624018,0.811917405063833,0.7703621583865776,Kilosort4,20250429_210325779524,0.2
40,0.8586806261681739,0.8117412131488818,0.7463908883903457,Kilosort4,20250429_210249305221,0.2
49,0.8894857742722685,0.7583068207519265,0.7377029755753434,Kilosort4,20250429_210349316784,0.2
48,0.879699840236286,0.7901368479391742,0.7355129689215051,Kilosort4,20250429_210337212805,0.2
41,0.8431394158535686,0.7838482350408735,0.7293630105124265,Kilosort4,20250429_210300115086,0.2
29,0.7952291863148335,0.7021051964238947,0.6739420296918496,Kilosort4,20250429_210101735405,0.2
35,0.7406215961693815,0.69738806241024,0.631757385371265,Kilosort4,20250429_210208979711,0.2
50,0.6765591957030674,0.6539216083651702,0.6362089436643853,MUedit,run1,0.2
51,0.8302129229678608,0.8131628452825981,0.7677686112151599,MUedit,run2,0.2
52,0.7182057797760996,0.7516595834195143,0.6454348638209833,MUedit,run3,0.2
53,0.6821828591949577,0.6740153915327529,0.6090532981895631,MUedit,run4,0.2
