cluster_id	Amplitude
0	16.7
1	18.2
2	14.4
3	14.5
4	12.0
5	47.8
6	5.1
7	49.1
8	16.0
9	13.5
10	13.8
11	4.9
12	11.8
13	53.5
14	50.0
15	55.8
16	49.6
17	25.9
18	12.7
19	13.4
20	13.8
21	22.4
22	15.4
23	12.3
24	4.8
25	28.7
26	43.3
27	14.2
28	223.0
29	58.1
30	22.9
31	47.2
32	12.3
33	4.3
34	37.0
35	38.8
36	22.4
37	52.1
38	17.4
39	12.2
40	10.3
41	37.2
42	31.7
43	40.2
44	56.4
45	161.3
46	22.2
47	43.6
48	29.0
49	43.9
50	12.9
51	11.3
52	53.2
53	41.7
54	192.4
55	40.1
56	54.6
57	24.0
58	34.8
59	26.8
60	28.3
61	16.3
62	17.5
63	33.0
64	4.1
65	17.7
66	55.0
67	17.7
68	36.4
69	62.2
70	11.6
71	20.7
72	37.3
73	31.7
74	44.4
75	103.4
76	33.3
77	15.3
78	23.5
79	21.6
80	4.5
