cluster_id	KSLabel
0	mua
1	mua
2	good
3	good
4	mua
5	good
6	mua
7	good
8	good
9	good
10	mua
11	mua
12	mua
13	mua
14	good
15	good
16	mua
17	mua
18	good
19	good
20	good
21	mua
22	mua
23	good
24	mua
25	mua
26	mua
27	mua
28	good
29	mua
30	mua
31	good
32	mua
33	mua
34	mua
35	good
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	good
51	mua
52	mua
53	mua
54	good
55	mua
56	mua
57	mua
58	good
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	good
66	mua
67	mua
68	mua
69	mua
70	mua
71	good
72	good
73	mua
74	good
75	mua
76	mua
77	good
78	good
79	mua
80	mua
