1,0.5,0,0
0.89462,0.80704,0.10538,0
0.66524,0.97191,0.33476,0
0.41619,0.99293,0.58381,0.0070734
0.20934,0.90684,0.79066,0.09316
0.071566,0.75777,0.92843,0.24223
0.0070734,0.58381,0.99293,0.41619
0,0.41298,0.99237,0.58702
0,0.26345,0.9405,0.73655
0,0.14526,0.85237,0.85474
0,0.062466,0.742,0.93753
0,0.014953,0.62136,0.98505
0,0,0.5,1
0,0,0.38508,0.98661
0,0,0.28165,0.9498
0,0,0.19296,0.89462
0,0,0.12083,0.82593
0,0,0.065933,0.74817
0,0,0.028094,0.66524
0,0,0.0065233,0.5805
0,0,0,0.49674
0,0,0,0.41619
0,0,0,0.34063
0,0,0,0.27137
0,0,0,0.20934
0,0,0,0.15518
0,0,0,0.10922
0,0,0,0.071566
0,0,0,0.042156
0,0,0,0.02077
0,0,0,0.0070734
0,0,0,0.00064708
0,0,0,0
